producto_unificado,categorias,sub-categoria,Indice
fernet branca 750cc,bebidas,alcoholica,Bebidas alcoholicas y tabaco
quilmes 6u 473cc,bebidas,alcoholica,Bebidas alcoholicas y tabaco
coca cola 1.5L,bebidas,no alcoholica,Bebidas no alcoholicas
yerba mate playadito 500g,bebidas,no alcoholica,Bebidas no alcoholicas
finlandia light 180g,alimentos,pan y lacteos,Pan y cereales
pan de mesa bimbo artesano 500g,alimentos,pan y lacteos,Pan y cereales
crema para batir LS 520cc,alimentos,pan y lacteos,Pan y cereales
manteca LS 200g,alimentos,pan y lacteos,Pan y cereales
mayonesa hellmann 950g,alimentos,aderezos,Otros alimentos
ketchup hellmans 250g,alimentos,aderezos,Otros alimentos
salchicas paladini 6u,alimentos,carnes y huevo,Carnes y derivados
pan de pancho bimbo artesano 6u,alimentos,pan y lacteos,Pan y cereales
tang polvo 15g,bebidas,no alcoholica,Bebidas no alcoholicas
casancrem clasico 290g,alimentos,aderezos,Otros alimentos
dolca suave origenes 170g,alimentos,otros,Otros alimentos
rubia imperial extra laguer 473cc,bebidas,alcoholica,Bebidas alcoholicas y tabaco
tomate perita salsati LC 240g,alimentos,otros,Otros alimentos
pure de tomate la campagnola 520g,alimentos,otros,Otros alimentos
sonrisas x3 324g,alimentos,otros,Otros alimentos
imperial lager 473ml,bebidas,alcoholica,Bebidas alcoholicas y tabaco
huevo color 12u la piara,alimentos,carnes y huevo,Carnes y derivados
huevo color 12u avicoper,alimentos,carnes y huevo,Carnes y derivados
queso cremon cremoso 1kg,alimentos,pan y lacteos,Pan y cereales
leche 1% LS 1L,bebidas,no alcoholica,Bebidas no alcoholicas
atun lc 170g,alimentos,carnes y huevo,Carnes y derivados
yogur ls 900g,alimentos,pan y lacteos,Pan y cereales
tapa de asado 1kg,alimentos,carnes y huevo,Carnes y derivados
milanesa nalga 1kg,alimentos,carnes y huevo,Carnes y derivados
tapa de nalga 1kg,alimentos,carnes y huevo,Carnes y derivados
pollo entero cong. 1kg,alimentos,carnes y huevo,Carnes y derivados
lavandina ayudin 1l,limpieza,casa,limpieza
detergente cif bioactive 500cc,limpieza,casa,limpieza
procenex 1.8l,limpieza,casa,limpieza
ddl clasico ls 400g,alimentos,pan y lacteos,Pan y cereales
acondicionador dove rec. Total 400 ml,limpieza,personal,limpieza
shampoo dove rec. Total 400 ml,limpieza,personal,limpieza
babysec ultrasoft 52 un.,limpieza,personal,limpieza
vinagre alcohol menoyo 500ml,alimentos,aderezos,Otros alimentos
minerva 250ml,alimentos,aderezos,Otros alimentos
arroz molinos 1kg,alimentos,otros,Otros alimentos
arroz gallor oro 500g,alimentos,otros,Otros alimentos
sal dos anclas parrillera 500g,alimentos,aderezos,Otros alimentos
zucaritas 490g,alimentos,otros,Otros alimentos
copos de maiz granix 400g,alimentos,otros,Otros alimentos
alfajor triple milka ddl 70g,alimentos,otros,Otros alimentos
